OpenAlex.title;issn.X1;issn.X2;issn.X3;issn.X4;host_organization_name;country_code;concept;Scopus.title;Print-ISSN;E-ISSN;All Science Journal Classification Codes (ASJC);WoS.title;WoS.ISSN;WoS.eISSN;WoS. Categories;DOAJ.title;DOAJ.Journal ISSN (print version);DOAJ.Journal EISSN (online version)
Canadian journal of clinical pharmacology;1710-6222;;;;Codon Publications;CA;C159110408;;;;;JOURNAL OF POPULATION THERAPEUTICS AND CLINICAL PHARMACOLOGY;1710-6222;1710-6222;Pharmacology & Pharmacy;;;
Canadian journal of community mental health;0713-3936;1929-7084;;;Wilfrid Laurier University Press;CA;C159110408;Canadian Journal of Community Mental Health;0713-3936;-;"2738; 2739;";;;;;;;
Canadian Journal of Dietetic Practice and Research;1486-3847;2292-9592;;;;CA;C159110408;Canadian Journal of Dietetic Practice and Research;1486-3847;-;"2916; 2700; 2701;";CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH;1486-3847;2292-9592;Nutrition & Dietetics;;;
Canadian Journal of Emergency Medicine;1481-8035;1481-8043;;;Springer Nature;GB;C159110408;Canadian Journal of Emergency Medicine;1481-8035;-;"2711;";CANADIAN JOURNAL OF EMERGENCY MEDICINE;1481-8035;1481-8043;Emergency Medicine;;;
Canadian journal of emergency nursing;2293-3921;2563-2655;;;University of Alberta Library;CA;C159110408;;;;;;;;;;;
Canadian journal of health technologies;2563-6596;;;;;;C159110408;;;;;;;;;;;
Canadian Journal of Human Sexuality;2291-7063;1188-4517;;;University of Toronto Press;CA;C159110408;Canadian Journal of Human Sexuality;1188-4517;-;"2738; 3201;";CANADIAN JOURNAL OF HUMAN SEXUALITY;1188-4517;2291-7063;Public, Environmental & Occupational Health;;;
Canadian journal of kidney health and disease;2054-3581;;;;BioMed Central;GB;C159110408;Canadian Journal of Kidney Health and Disease;-;2054-3581;"2727;";CANADIAN JOURNAL OF KIDNEY HEALTH AND DISEASE;;2054-3581;Urology & Nephrology;Canadian Journal of Kidney Health and Disease;;2054-3581
Canadian journal of nursing administration;0838-2948;;;;;CA;C159110408;;;;;;;;;;;
Canadian Journal of Nursing Research Archive;1705-7051;0844-5621;;;McGill University;CA;C159110408;Canadian Journal of Nursing Research;0844-5621;-;"2900;";CANADIAN JOURNAL OF NURSING RESEARCH;0844-5621;1705-7051;Nursing;;;
Canadian Journal Of Pain;2474-0527;;;;Taylor & Francis;US;C159110408;Canadian Journal of Pain;-;2474-0527;"2703; ";CANADIAN JOURNAL OF PAIN-REVUE CANADIENNE DE LA DOULEUR;2474-0527;2474-0527;Clinical Neurology;Canadian Journal of Pain;;2474-0527
Canadian Journal of Public Health-revue Canadienne De Sante Publique;0008-4263;1920-7476;;;Springer Science+Business Media;CA;C159110408;Canadian Journal of Public Health;0008-4263;1920-7476;"2739; 2700;";CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE;0008-4263;1920-7476;Public, Environmental & Occupational Health;;;
Canadian journal of respiratory therapy;1205-9838;2368-6820;;;Canadian Society of Respiratory Therapists;CA;C159110408;Canadian Journal of Respiratory Therapy;1205-9838;-;"2740; 3601;";;;;;Canadian Journal of Respiratory Therapy;1205-9838;2368-6820
Canadian Journal of School Psychology;2154-3984;0829-5735;;;SAGE Publishing;US;C159110408;Canadian Journal of School Psychology;0829-5735;2154-3984;"3204;";CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY;0829-5735;2154-3984;Psychology, Educational;;;
Canadian journal on aging =;0714-9808;1710-1107;0714-9808;;Cambridge University Press;GB;;Canadian Journal on Aging/La Revue canadienne du vieillissment/Canadian Public Policy/Analyse de Politiques;0714-9808;-;"2717; 2905; 2909; 3306;";CANADIAN JOURNAL ON AGING-REVUE CANADIENNE DU VIEILLISSEMENT;0714-9808;1710-1107;Gerontology;;;
Canadian medical education journal;1923-1202;;;;Canadian Medical Education Journal;CA;C159110408;;;;;;;;;Canadian Medical Education Journal;;1923-1202
Canadian oncology nursing journal;1181-912X;2368-8076;;;Pappin Communications;CA;C159110408;;;;;;;;;Canadian Oncology Nursing Journal;1181-912X;2368-8076
Canadian operating room nursing journal;0712-6778;;;;;CA;C159110408;;;;;;;;;;;
Canadian Pharmacists Journal;1715-1635;1913-701X;;;SAGE Publishing;CA;C159110408;Canadian Pharmacists Journal;1715-1635;-;"3003; 3611;";CANADIAN PHARMACISTS JOURNAL;1715-1635;1913-701X;Pharmacology & Pharmacy;;;
Cancer Causes & Control;1573-7225;0957-5243;;;Springer Science+Business Media;NL;C159110408;Cancer Causes and Control;0957-5243;1573-7225;"1306; 2730;";CANCER CAUSES & CONTROL;0957-5243;1573-7225;Oncology | Public, Environmental & Occupational Health;;;
Cancer Nursing;1538-9804;0162-220X;;;Lippincott Williams & Wilkins;US;C159110408;Cancer Nursing;0162-220X;-;"2917; 2730;";CANCER NURSING;0162-220X;1538-9804;Oncology | Nursing;;;
Cancer Nursing Practice;1475-4266;2047-8933;;;Royal College of Nursing;GB;C159110408;;;;;;;;;;;
Cancer Practice;1523-5394;1065-4704;;;Wiley-Blackwell;US;C159110408;;;;;;;;;;;
Cancer research, statistics and treatment;2590-3225;2590-3233;2590-3225;;Medknow;IN;;Cancer Research, Statistics, and Treatment;2590-3233;2590-3225;"1306; 2917; 2709; 2731; ";;;;;Cancer Research, Statistics, and Treatment;2590-3233;2590-3225
CANNT journal = Journal ACITN;1498-5136;;;;;;C159110408;;;;;;;;;;;
Cardiac Electrophysiology Review;1573-725X;1385-2264;;;Springer Science+Business Media;NL;C159110408;;;;;;;;;;;
Cardiac failure review;2057-7540;2057-7559;;;;GB;C159110408;Cardiac Failure Review;2057-7540;2057-7559;"2705; ";;;;;Cardiac Failure Review;2057-7540;2057-7559
Cardiovascular digital health journal;2666-6936;;;;Elsevier BV;US;C159110408;Cardiovascular Digital Health Journal;2666-6936;-;"2705; 2706; 2204; ";;;;;Cardiovascular Digital Health Journal;;2666-6936
Cardio-vascular nursing;0008-6355;;;;CRC Press;US;C159110408;;;;;;;;;;;
Care Management Journals;1521-0987;1938-9019;;;Springer Science+Business Media;US;C159110408;;;;;;;;;;;
Care weekly;2606-2186;2606-4197;;;;FR;C159110408;;;;;;;;;;;
Caregiving;2192-340X;2192-3418;;;Springer Nature;US;C159110408;;;;;;;;;;;
Caring;2776-8627;2776-8643;;;Brawijaya University;ID;C159110408;;;;;;;;;;;
Caring : Indonesian Journal of Nursing Science;2685-7162;;;;;ID;C159110408;;;;;;;;;;;
Caring : National Association for Home Care magazine;0738-467X;;;;National Association for Home Care;US;C159110408;;;;;;;;;;;
Carolina journal of interdisciplinary medicine;2692-0549;;;;;US;C159110408;;;;;;;;;;;
Case reports in emergency medicine;2090-6498;2090-648X;;;Hindawi Publishing Corporation;GB;C159110408;;;;;;;;;Case Reports in Emergency Medicine;2090-648X;2090-6498
Case studies in sport and exercise psychology;2470-4857;2470-4849;;;Human Kinetics;US;C159110408;;;;;;;;;;;
Central African Journal of Public Health;2575-5773;2575-5781;;;Science Publishing Group;US;C159110408;;;;;;;;;;;
Central Asian Journal of Global Health;2166-7403;;;;University Library System, University of Pittsburgh;US;C159110408;;;;;;;;;Central Asian Journal of Global Health;;2166-7403
Central European Journal of Nursing and Midwifery;2336-3517;;;;University of Ostrava;CZ;C159110408;Central European Journal of Nursing and Midwifery;2336-3517;2336-3517;"2900;";;;;;Central European Journal of Nursing and Midwifery;;2336-3517
Cerebrovascular Diseases Extra;1664-5456;;;;Karger Publishers;CH;C159110408;Cerebrovascular Diseases Extra;-;1664-5456;"2705; 2728; 2808;";CEREBROVASCULAR DISEASES EXTRA;1664-5456;1664-5456;Peripheral Vascular Diseases;Cerebrovascular Diseases Extra;;1664-5456
Chiang Mai Wetchasan;0125-5983;;;;Chiang Mai University;TH;C159110408;;;;;;;;;;;
Child & adolescent social work journal;0738-0151;1573-2797;;;Springer Science+Business Media;NL;C159110408;Child and Adolescent Social Work Journal;0738-0151;1573-2797;"3300; 3301;";CHILD AND ADOLESCENT SOCIAL WORK JOURNAL;0738-0151;1573-2797;Social Work;;;
Child & Family Behavior Therapy;1545-228X;0731-7107;;;Haworth Press;US;C159110408;Child and Family Behavior Therapy;0731-7107;1545-228X;"3301; 3203;";CHILD & FAMILY BEHAVIOR THERAPY;0731-7107;1545-228X;Psychology, Clinical | Family Studies;;;
Child & Family Social Work;1365-2206;1356-7500;;;Wiley-Blackwell;GB;C159110408;Child and Family Social Work;1356-7500;-;"3312; 3306;";CHILD & FAMILY SOCIAL WORK;1356-7500;1365-2206;Family Studies | Social Work;;;
Child & youth care forum;1573-3319;1053-1890;;;Springer Science+Business Media;NL;C159110408;Child and Youth Care Forum;1053-1890;1573-3319;"3319; 3301;";CHILD & YOUTH CARE FORUM;1053-1890;1573-3319;Psychology, Development;;;
Child & youth care quarterly;2377-0759;0893-0848;;;Springer Nature;US;C159110408;;;;;;;;;;;
Child & Youth Services;1545-2298;0145-935X;;;Taylor & Francis;US;C159110408;Child and Youth Services;0145-935X;1545-2298;"3301; 3306;";CHILD & YOUTH SERVICES;0145-935X;1545-2298;Social Work;;;
Child Abuse & Neglect;1873-7757;0145-2134;;;Elsevier BV;GB;C159110408;Child Abuse and Neglect;0145-2134;-;"2738; 3204; 2735;";CHILD ABUSE & NEGLECT;0145-2134;1873-7757;Family Studies | Psychology, Social | Social Work;;;
Child abuse research in South Africa;1562-1383;;;;;ZA;C159110408;;;;;;;;;;;
Child Abuse Review;0952-9136;1099-0852;;;Wiley-Blackwell;GB;C159110408;Child Abuse Review;0952-9136;-;"3308; 2735;";CHILD ABUSE REVIEW;0952-9136;1099-0852;Family Studies | Social Work;;;
Child and Adolescent Mental Health;1475-357X;1475-3588;;;Wiley-Blackwell;GB;C159110408;Child and Adolescent Mental Health;1475-357X;-;"2738; 2735;";CHILD AND ADOLESCENT MENTAL HEALTH;1475-357X;1475-3588;Pediatrics | Psychiatry;;;
Child and Adolescent Psychiatric Clinics of North America;1056-4993;1558-0490;;;Elsevier BV;US;C159110408;Child and Adolescent Psychiatric Clinics of North America;1056-4993;-;"2738; 2735;";CHILD AND ADOLESCENT PSYCHIATRIC CLINICS OF NORTH AMERICA;1056-4993;1558-0490;Psychiatry;;;
Child and Adolescent Psychiatry and Mental Health;1753-2000;;;;BioMed Central;GB;C159110408;Child and Adolescent Psychiatry and Mental Health;1753-2000;-;"2738; 2735;";CHILD AND ADOLESCENT PSYCHIATRY AND MENTAL HEALTH;;1753-2000;Pediatrics | Psychiatry;Child and Adolescent Psychiatry and Mental Health;;1753-2000
Child Care Health and Development;0305-1862;1365-2214;;;Wiley-Blackwell;GB;C159110408;Child: Care, Health and Development;0305-1862;1365-2214;"2739; 3204; 2735;";CHILD CARE HEALTH AND DEVELOPMENT;0305-1862;1365-2214;Pediatrics;;;
Child Care in Practice;1476-489X;1357-5279;;;Taylor & Francis;GB;C159110408;Child Care in Practice;1357-5279;-;"2905; 2919; 3204; 3304; 3306; 2735;";CHILD CARE IN PRACTICE;1357-5279;1476-489X;Social Work | Family Studies;;;
Child care information exchange;0164-8527;;;;;US;C159110408;;;;;;;;;;;
Child Care Quarterly;2377-0767;0045-6632;;;Springer Nature;US;C159110408;;;;;;;;;;;
Child health nursing research;2287-9129;2287-9110;;;Korean Academy of Child Health Nursing;KR;C159110408;Child Health Nursing Research;2287-9110;2287-9129;"2919; 2735;";;;;;Child Health Nursing Research;2287-9110;2287-9129
Child Indicators Research;1874-897X;1874-8988;;;Springer Science+Business Media;NL;C159110408;Child Indicators Research;1874-897X;1874-8988;"3312; 3207; 3306;";CHILD INDICATORS RESEARCH;1874-897X;1874-8988;Social Sciences, Interdisciplinary;;;
Child Maltreatment;1077-5595;1552-6119;;;SAGE Publishing;US;C159110408;Child Maltreatment;1077-5595;-;"3204; 2735;";CHILD MALTREATMENT;1077-5595;1552-6119;Family Studies | Social Work;;;
Child maltreatment;2211-9701;2211-971X;;;Springer Nature (Netherlands);NL;C159110408;;;;;;;;;;;
Child maltreatment solutions network;2509-7156;2509-7164;;;Springer International Publishing;CH;C159110408;;;;;;;;;;;
Child Psychiatry & Human Development;1573-3327;0009-398X;;;Springer Science+Business Media;US;C159110408;Child Psychiatry and Human Development;0009-398X;1573-3327;"2738; 3204; 2735;";CHILD PSYCHIATRY & HUMAN DEVELOPMENT;0009-398X;1573-3327;Psychology, Development | Psychiatry;;;
Child Welfare;0009-4021;;;;Child Welfare League of America;US;C159110408;;;;;CHILD WELFARE;0009-4021;;Family Studies | Social Work;;;
Childhood obesity;2153-2176;2153-2168;;;Mary Ann Liebert, Inc.;US;C159110408;Childhood Obesity;2153-2168;2153-2176;"2916; 2712; 2735;";CHILDHOOD OBESITY;2153-2168;2153-2176;Pediatrics;;;
Children & Young People Now;1755-8093;2515-7582;;;;;C159110408;;;;;;;;;;;
Children (Basel);2227-9067;;;;MDPI;CH;C159110408;Children;-;2227-9067;"2735; ";CHILDREN-BASEL;;2227-9067;Pediatrics;Children;;2227-9067
Children and teenagers;2576-3709;2576-3717;;;;US;C159110408;;;;;;;;;;;
Children and Youth Services Review;1873-7765;0190-7409;;;Elsevier BV;GB;C159110408;Children and Youth Services Review;0190-7409;-;"3312; 3204; 3304;";CHILDREN AND YOUTH SERVICES REVIEW;0190-7409;1873-7765;Family Studies | Social Work;;;
Children Australia;1035-0772;2049-7776;;;Cambridge University Press;GB;C159110408;Children Australia;1035-0772;2049-7776;"3312; 3204; 3306;";;;;;;;
Children today;0361-4336;2169-1894;;;United States Government Publishing Office;US;C159110408;;;;;;;;;;;
Children's Health Care;1532-6888;0273-9615;;;Taylor & Francis;US;C159110408;Children's Health Care;0273-9615;1532-6888;"3203; 3204; 2735;";CHILDRENS HEALTH CARE;0273-9615;1532-6888;Public, Environmental & Occupational Health;;;
Children's services;1532-6918;1093-9644;;;Taylor & Francis;US;C159110408;;;;;;;;;;;
China CDC weekly;2096-7071;;;;;CN;C159110408;China CDC Weekly;2096-7071;-;"2739; 2725; 2713; ";CHINA CDC WEEKLY;;2096-7071;Public, Environmental & Occupational Health;;;
China Higher Medical Education;1002-1701;;;;Chinese Academic Journals (CD Version) Electronic Magazine Office;CN;C159110408;;;;;;;;;;;
Chinese General Practice;1007-9572;;;;ScienceOpen;CN;C159110408;Chinese General Practice;1007-9572;-;"2714; 2739; 2701;";;;;;;;
Chinese Health Economics;1003-0743;;;;Chinese Society of Health Economics;CN;C159110408;;;;;;;;;;;
Chinese Health Quality Management;1006-7515;;;;Chinese Hospital Management;CN;C159110408;;;;;;;;;;;
Chinese Journal of Clinical Nutrition;1674-635X;1674-635X;;;;CN;;Chinese Journal of Clinical Nutrition;1674-635X;-;"2916;";;;;;;;
Chinese Journal of Emergency Medicine;1671-0282;1671-0282;;;Chinese Medical Association;CN;;Chinese Journal of Emergency Medicine;1671-0282;-;"2907; 2711;";;;;;;;
Chinese Journal of General Practitioners;1671-7368;;;;;CN;C159110408;Chinese Journal of General Practitioners;1671-7368;-;"2714; 2701; ";;;;;;;
Chinese Journal of Health Education;1002-9982;;;;China Health Education Editorial Department;CN;C159110408;;;;;;;;;;;
Chinese Journal of Hospital Administration;1000-6672;;;;Chinese Medical Association;CN;C159110408;;;;;;;;;;;
Chinese Journal of Medical Education Research;2095-1485;;;;Chinese Medical Association;CN;C159110408;;;;;;;;;;;
Chinese Journal of Modern Nursing;1674-2907;;;;Chinese Medical Association;CN;C159110408;;;;;;;;;;;
Chinese journal of nursing;0254-1769;;;;Chinese Nursing Association;CN;C159110408;;;;;;;;;;;
Chinese Journal of Prevention and Control of Chronic Diseases;1004-6194;;;;;CN;C159110408;;;;;;;;;;;
Chinese Journal of Public Health Management;1001-9561;;;;;CN;C159110408;;;;;;;;;;;
Chinese Journal of School Doctor;1001-7062;;;;;CN;C159110408;;;;;;;;;;;
Chinese Medical Ethics;1001-8565;;;;Editorial Board of Chinese Medical Ethics;CN;C159110408;Chinese Medical Ethics;-;1001-8565;"3306; 2910; 2719; 1211; ";;;;;;;
Chinese mental health journal;1000-6729;;;;China Mental Health Association;CN;C159110408;;;;;;;;;;;
Chinese Nursing Research;2095-7718;2468-6972;;;CIG Media Group;NL;C159110408;;;;;;;;;;;
Chinese Primary Health Care;1001-568X;;;;Chinese Journal of Primary Health Care;CN;C159110408;;;;;;;;;;;
Chiropractic & Manual Therapies;2045-709X;;;;BioMed Central;GB;C159110408;Chiropractic and Manual Therapies;2045-709X;-;"2707; 3612; 3602;";CHIROPRACTIC & MANUAL THERAPIES;;2045-709X;Rehabilitation;Chiropractic & Manual Therapies;;2045-709X
Chiropractic & Manual Therapies;1746-1340;;;;Springer Science+Business Media;GB;C159110408;;;;;;;;;;;
Christian Journal for Global Health;2167-2415;;;;Center for Health in Mission;US;C159110408;Christian Journal for Global Health;-;2167-2415;"2739; 2719;";;;;;Christian Journal for Global Health;;2167-2415
Christian nurse international;1010-7355;;;;;;C159110408;;;;;;;;;;;
Chronic diseases and injuries in Canada;1925-6515;1925-6523;;;;CA;C159110408;;;;;;;;;;;
Chronic Diseases in Canada;0228-8699;1481-8523;;;Minister of Health;CA;C159110408;;;;;;;;;;;
Chronic Illness;1742-3953;1745-9206;;;SAGE Publishing;GB;C159110408;Chronic Illness;1742-3953;1745-9206;"2719; 2700;";CHRONIC ILLNESS;1742-3953;1745-9206;Health Care Sciences & Services | Public, Environmental & Occupational Health | Medicine, General & Internal;;;
Chronic Respiratory Disease;1479-9731;1479-9723;;;SAGE Publishing;GB;C159110408;Chronic Respiratory Disease;1479-9723;1479-9731;"2740;";CHRONIC RESPIRATORY DISEASE;1479-9723;1479-9731;Respiratory System;Chronic Respiratory Disease;1479-9723;1479-9731
Chronicles of health impact assessment;2475-5885;;;;Indiana University – Purdue University Indianapolis;US;C159110408;;;;;;;;;Chronicles of Health Impact Assessment;;2475-5885
Ciencia y enfermería;0717-2079;0717-9553;;;University of Concepción;CL;C159110408;Ciencia y Enfermeria;0717-2079;0717-9553;"2900;";;;;;;;
Ciência, Cuidado e Saúde;1984-7513;1677-3861;;;Universidade Estadual de Maringá;BR;C159110408;;;;;;;;;;;
Cin-computers Informatics Nursing;1538-2931;1538-9774;;;Lippincott Williams & Wilkins;US;C159110408;CIN - Computers Informatics Nursing;1538-2931;1538-9774;"2901; 2718;";CIN-COMPUTERS INFORMATICS NURSING;1538-2931;1538-9774;Computer Science, Interdisciplinary Applications | Medical Informatics | Nursing;;;
Circulation-cardiovascular Quality and Outcomes;1941-7705;1941-7713;;;Lippincott Williams & Wilkins;US;C159110408;Circulation. Cardiovascular Quality and Outcomes;1941-7713;1941-7705;"2705;";CIRCULATION-CARDIOVASCULAR QUALITY AND OUTCOMES;1941-7705;1941-7713;Cardiac & Cardiovascular System;;;
Clinical & translational immunology;2050-0068;2050-0068;;;Wiley;AU;;Clinical and Translational Immunology;-;2050-0068;"2900; 2403; 2723;";CLINICAL & TRANSLATIONAL IMMUNOLOGY;;2050-0068;Immunology;Clinical & Translational Immunology;;2050-0068
Clinical and experimental emergency medicine;2383-4625;;;;;KR;C159110408;Clinical and Experimental Emergency Medicine;-;2383-4625;"2907; 2711;";CLINICAL AND EXPERIMENTAL EMERGENCY MEDICINE;2383-4625;2383-4625;Emergency Medicine;Clinical and Experimental Emergency Medicine;;2383-4625
Clinical and Experimental Pediatrics;2713-4148;2713-4148;;;Korean Pediatric Society;KR;;Clinical and Experimental Pediatrics;-;2713-4148;"2919; 2735; ";CLINICAL AND EXPERIMENTAL PEDIATRICS;;2713-4148;Pediatrics;Clinical and Experimental Pediatrics;;2713-4148
Clinical audit;1179-2760;;;;Dove Medical Press;NZ;C159110408;;;;;;;;;;;
Clinical Case Studies;1552-3802;1534-6501;;;SAGE Publishing;US;C159110408;Clinical Case Studies;1534-6501;-;"2738; 3203;";CLINICAL CASE STUDIES;1534-6501;1552-3802;Psychology, Clinical | Psychiatry;;;
Clinical Child and Family Psychology Review;1573-2827;1096-4037;;;Springer Science+Business Media;NL;C159110408;Clinical Child and Family Psychology Review;1096-4037;-;"2738; 3203; 3204; 3304; 2735;";CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW;1096-4037;1573-2827;Psychology, Clinical;;;
Clinical Child Psychology and Psychiatry;1461-7021;1359-1045;;;SAGE Publishing;GB;C159110408;Clinical Child Psychology and Psychiatry;1359-1045;-;"2738; 3203; 2700; 2735;";CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY;1359-1045;1461-7021;Psychiatry | Psychology;;;
Clinical diabetes and endocrinology;2055-8260;;;;Springer Science+Business Media;GB;C159110408;;;;;;;;;Clinical Diabetes and Endocrinology;;2055-8260
Clinical Drug Investigation;1173-2563;1179-1918;;;Adis, Springer Healthcare;NZ;C159110408;Clinical Drug Investigation;1173-2563;-;"2736; 2700;";CLINICAL DRUG INVESTIGATION;1173-2563;1179-1918;Pharmacology & Pharmacy;;;
Clinical Effectiveness in Nursing;1532-9275;1361-9004;;;Elsevier BV;US;C159110408;;;;;;;;;;;
Clinical eHealth;2588-9141;;;;Elsevier BV;CN;C159110408;;;;;;;;;Clinical eHealth;;2588-9141
Clinical Epidemiology and Global Health;2213-3984;2452-0918;;;Elsevier BV;NL;C159110408;Clinical Epidemiology and Global Health;-;2213-3984;"2725; 2726; 2739; 2713;";CLINICAL EPIDEMIOLOGY AND GLOBAL HEALTH;2452-0918;2213-3984;Public, Environmental & Occupational Health;Clinical Epidemiology and Global Health;2452-0918;2213-3984
